score	insns	calls	indirect	branches	dispatch	cop1	cop2	distinct_mem	kind	addr	demangled	file
-11.65	1	0	0	0	0	0	0	0	accessor	0x3c53f0	Rnd::SetDepthOfField(RndCam *, float, float, float, float)	SetDepthOfField__3RndP6RndCamffff_0x3c53f0.cpp
-11.15	1	0	0	0	0	0	0	0	accessor	0x3eb120	StreamNull::SetJump(float, float, char * const)	SetJump__10StreamNullffPCc_0x3eb120.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3ee818	BeatMaster::AddMultiGem(int, GameGem & const)	AddMultiGem__10BeatMasteriRC7GameGem_0x3ee818.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3ee820	BeatMaster::AddPhrase(int, Phrase & const)	AddPhrase__10BeatMasteriRC6Phrase_0x3ee820.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x371c28	MultiplayerAnalyzer::AddPhrase(int, Phrase & const)	AddPhrase__19MultiplayerAnalyzeriRC6Phrase_0x371c28.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x371c20	MultiplayerAnalyzer::AddTrack(int, ?)	AddTrack__19MultiplayerAnalyzeriG6Symbolb_0x371c20.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e84c8	Stream::SetADSR(int, ADSR & const)	SetADSR__6StreamiRC4ADSR_0x3e84c8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x36c788	PlayerMatcher::SetCurrentPhrase(int, PhraseInfo & const)	SetCurrentPhrase__13PlayerMatcheriRC10PhraseInfo_0x36c788.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3ee610	BeatMatchAudio::SetCurrentPhrase(int, PhraseInfo & const)	SetCurrentPhrase__14BeatMatchAudioiRC10PhraseInfo_0x3ee610.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb110	StreamNull::SetFXCore(int, FXCore)	SetFXCore__10StreamNulli6FXCore_0x3eb110.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e9110	Synth::SetFXDelay(int, float)	SetFXDelay__5Synthif_0x3e9110.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e9128	Synth::SetFXFeedback(int, float)	SetFXFeedback__5Synthif_0x3e9128.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e90e8	Synth::SetFXMode(int, FXMode)	SetFXMode__5Synthi6FXMode_0x3e90e8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e90f8	Synth::SetFXVolume(int, float)	SetFXVolume__5Synthif_0x3e90f8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb100	StreamNull::SetFX(int, bool)	SetFX__10StreamNullib_0x3eb100.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x4247b8	CrowdMeter::SetFrame(float, float)	SetFrame__10CrowdMeterff_0x4247b8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x420468	BandStarMeter::SetFrame(float, float)	SetFrame__13BandStarMeterff_0x420468.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x4201a0	BandScoreDisplay::SetFrame(float, float)	SetFrame__16BandScoreDisplayff_0x4201a0.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x420e18	BandStreakDisplay::SetFrame(float, float)	SetFrame__17BandStreakDisplayff_0x420e18.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x2b7610	WorldFx::SetFrame(float, float)	SetFrame__7WorldFxff_0x2b7610.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb0e8	StreamNull::SetPan(int, float)	SetPan__10StreamNullif_0x3eb0e8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3c53e8	Rnd::SetShadowMap(RndTex *, RndCam *)	SetShadowMap__3RndP6RndTexP6RndCam_0x3c53e8.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb138	StreamNull::SetSlipOffset(int, float)	SetSlipOffset__10StreamNullif_0x3eb138.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb158	StreamNull::SetSlipSpeed(int, float)	SetSlipSpeed__10StreamNullif_0x3eb158.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3e84d0	Stream::SetStereoPair(int, int)	SetStereoPair__6Streamii_0x3e84d0.cpp
-10.65	1	0	0	0	0	0	0	0	accessor	0x3eb0d0	StreamNull::SetVolume(int, float)	SetVolume__10StreamNullif_0x3eb0d0.cpp
-10.3	2	0	0	0	0	0	0	0	accessor	0x36c6c8	BeatMatchSink::GetNewTrack(int, int)	GetNewTrack__13BeatMatchSinkii_0x36c6c8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e84d8	Stream::AddVirtualChannels(int)	AddVirtualChannels__6Streami_0x3e84d8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x42cea0	ObjectDir::AddedObject(Hmx::Object *)	AddedObject__9ObjectDirPQ23Hmx6Object_0x42cea0.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x37d3d8	HelpBarElement::SetColor(Hmx::Color & const)	SetColor__14HelpBarElementRCQ23Hmx5Color_0x37d3d8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e93a8	MicNull::SetCompressorParam(float)	SetCompressorParam__7MicNullf_0x3e93a8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9398	MicNull::SetCompressor(bool)	SetCompressor__7MicNullb_0x3e9398.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3ef490	BeatMatchControllerSink::SetController(BeatMatchController *)	SetController__23BeatMatchControllerSinkP19BeatMatchController_0x3ef490.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9348	MicNull::SetDMA(bool)	SetDMA__7MicNullb_0x3e9348.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9380	MicNull::SetEarpieceVolume(float)	SetEarpieceVolume__7MicNullf_0x3e9380.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9370	MicNull::SetEarpiece(bool)	SetEarpiece__7MicNullb_0x3e9370.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9140	Synth::SetFXChain(bool)	SetFXChain__5Synthb_0x3e9140.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e84e8	Stream::SetFilter(Stream::Filter *)	SetFilter__6StreamPQ26Stream6Filter_0x3e84e8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x41d778	BandLeadMeter::SetFrame(float)	SetFrame__13BandLeadMeterf_0x41d778.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9358	MicNull::SetGain(float)	SetGain__7MicNullf_0x3e9358.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x236390	RndMeshAnim::SetKey(float)	SetKey__11RndMeshAnimf_0x236390.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3b21d0	RndAnimatable::SetKey(float)	SetKey__13RndAnimatablef_0x3b21d0.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9150	Synth::SetMicFX(bool)	SetMicFX__5Synthb_0x3e9150.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e9160	Synth::SetMicVolume(float)	SetMicVolume__5Synthf_0x3e9160.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e4bc0	WaitSeqInst::SetPan(float)	SetPan__11WaitSeqInstf_0x3e4bc0.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3eacc0	SampleInst::SetStartProgress(float)	SetStartProgress__10SampleInstf_0x3eacc0.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e4bc8	WaitSeqInst::SetTranspose(float)	SetTranspose__11WaitSeqInstf_0x3e4bc8.cpp
-10.15	1	0	0	0	0	0	0	0	accessor	0x3e4bb8	WaitSeqInst::SetVolume(float)	SetVolume__11WaitSeqInstf_0x3e4bb8.cpp
-9.95	3	0	0	0	0	0	0	0	accessor	0x3d03c8	KerningTable::Hash(int, int)	Hash__12KerningTableii_0x3d03c8.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x2a0478	OC3Ent::Face::FxCurrentTimeNode::AddInputLink(OC3Ent::Face::FxFaceGraphNodeLink & const)	AddInputLink__Q36OC3Ent4Face17FxCurrentTimeNodeRCQ36OC3Ent4Face19FxFaceGraphNodeLink_0x2a0478.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x36d628	ListProvider::DataIndex(?)	DataIndex__C12ListProviderG6Symbol_0x36d628.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x3eb118	StreamNull::GetFXCore(int)	GetFXCore__C10StreamNulli_0x3eb118.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x3e90f0	Synth::GetFXMode(int)	GetFXMode__C5Synthi_0x3e90f0.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x3eb108	StreamNull::GetFX(int)	GetFX__C10StreamNulli_0x3eb108.cpp
-9.8	2	0	0	0	0	0	0	0	accessor	0x36d630	ListProvider::IsActive(int)	IsActive__C12ListProvideri_0x36d630.cpp
-9.65	1	0	0	0	0	0	0	0	accessor	0x3eb128	StreamNull::ClearJump()	ClearJump__10StreamNull_0x3eb128.cpp
-9.65	1	0	0	0	0	0	0	0	accessor	0x3f5768	TrackWatcherImpl::ResetFill()	ResetFill__16TrackWatcherImpl_0x3f5768.cpp
-9.65	1	0	0	0	0	0	0	0	accessor	0x2e8f60	CrowdMeter::Reset()	Reset__10CrowdMeter_0x2e8f60.cpp
-9.65	1	0	0	0	0	0	0	0	accessor	0x3cea68	RndCubeTex::Reset()	Reset__10RndCubeTex_0x3cea68.cpp
-9.45	3	0	0	0	0	0	0	0	accessor	0x2973c0	OC3Ent::Face::FxClass::IsExactKindOf(OC3Ent::Face::FxClass * const)	IsExactKindOf__CQ36OC3Ent4Face7FxClassPCQ36OC3Ent4Face7FxClass_0x2973c0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x42ce88	ObjectDir::DataDir()	DataDir__9ObjectDir_0x42ce88.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e93c8	MicNull::GetBufSamples()	GetBufSamples__C7MicNull_0x3e93c8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e93c0	MicNull::GetBuf()	GetBuf__7MicNull_0x3e93c0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e93a0	MicNull::GetCompressor()	GetCompressor__C7MicNull_0x3e93a0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9350	MicNull::GetDMA()	GetDMA__C7MicNull_0x3e9350.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9378	MicNull::GetEarpiece()	GetEarpiece__C7MicNull_0x3e9378.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9148	Synth::GetFXChain()	GetFXChain__C5Synth_0x3e9148.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400388	OC3Ent::Face::FxNullLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face12FxNullLinkFn_0x400388.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x4009a8	OC3Ent::Face::FxSqrtLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face12FxSqrtLinkFn_0x4009a8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400820	OC3Ent::Face::FxCubicLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face13FxCubicLinkFn_0x400820.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x4012d8	OC3Ent::Face::FxCustomLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxCustomLinkFn_0x4012d8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400510	OC3Ent::Face::FxLinearLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxLinearLinkFn_0x400510.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400b30	OC3Ent::Face::FxNegateLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxNegateLinkFn_0x400b30.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400cb8	OC3Ent::Face::FxInverseLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face15FxInverseLinkFn_0x400cb8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400fc8	OC3Ent::Face::FxConstantLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face16FxConstantLinkFn_0x400fc8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400e40	OC3Ent::Face::FxOneClampLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face16FxOneClampLinkFn_0x400e40.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400698	OC3Ent::Face::FxQuadraticLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face17FxQuadraticLinkFn_0x400698.cpp
