
Symbol table '.symtab' contains 22203 entries:
   Num:    Value  Size Type    Bind   Vis                    Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT                UND 
     1: 00100000     0 SECTION LOCAL  DEFAULT                  1 .text
     2: 00436b78     0 SECTION LOCAL  DEFAULT                  2 obj_load
     3: 00437100     0 SECTION LOCAL  DEFAULT                  3 .vutext
     4: 0043a810     0 SECTION LOCAL  DEFAULT                  4 rnd_load
     5: 0043e320     0 SECTION LOCAL  DEFAULT                  5 rnd_draw
     6: 00000000     0 SECTION LOCAL  DEFAULT                  6 .reginfo
     7: 00000000     0 SECTION LOCAL  DEFAULT                  7 .DVP.ovlystrtab
     8: 00000000     0 SECTION LOCAL  DEFAULT                  8 .DVP.overlay..0x2e60.3155.29.0
     9: 00000000     0 SECTION LOCAL  DEFAULT                  9 .DVP.overlay..0x3730.3155.32.1
    10: 00000000     0 SECTION LOCAL  DEFAULT                 10 .DVP.overlay..0x30b0.3155.35.2
    11: 00000000     0 SECTION LOCAL  DEFAULT                 11 .DVP.overlay..0x30a0.3155.38.3
    12: 00000000     0 SECTION LOCAL  DEFAULT                 12 .DVP.overlay..0x3e28.3155.41.4
    13: 00000000     0 SECTION LOCAL  DEFAULT                 13 .DVP.overlay..0x3760.3155.44.5
    14: 00000000     0 SECTION LOCAL  DEFAULT                 14 .DVP.overlay..0x21b0.3155.47.6
    15: 00000000     0 SECTION LOCAL  DEFAULT                 15 .DVP.overlay..0x29b0.3155.381.7
    16: 00000000     0 SECTION LOCAL  DEFAULT                 16 .DVP.overlay..0x2080.3155.50.8
    17: 00000000     0 SECTION LOCAL  DEFAULT                 17 .DVP.overlay..0x1e30.3155.53.9
    18: 00000000     0 SECTION LOCAL  DEFAULT                 18 .DVP.overlay..0x1ca0.3155.56.10
    19: 00000000     0 SECTION LOCAL  DEFAULT                 19 .DVP.overlay..0x1b98.3155.59.11
    20: 00000000     0 SECTION LOCAL  DEFAULT                 20 .DVP.overlay..0x1b48.3155.62.12
    21: 00000000     0 SECTION LOCAL  DEFAULT                 21 .DVP.overlay..0xcd8.3155.65.13
    22: 00000000     0 SECTION LOCAL  DEFAULT                 22 .DVP.overlay..0x14d8.3155.451.14
    23: 00000000     0 SECTION LOCAL  DEFAULT                 23 .DVP.overlay..0xbe0.3155.68.15
    24: 00000000     0 SECTION LOCAL  DEFAULT                 24 .DVP.overlay..0x1a38.3155.71.16
    25: 00000000     0 SECTION LOCAL  DEFAULT                 25 .DVP.overlay..0x9c8.3155.74.17
    26: 00000000     0 SECTION LOCAL  DEFAULT                 26 .debug_str
    27: 0043f980     0 SECTION LOCAL  DEFAULT                 27 .data
    28: 0045aa50     0 SECTION LOCAL  DEFAULT                 28 .vudata
    29: 0045aa80     0 SECTION LOCAL  DEFAULT                 29 .rodata
    30: 004eb780     0 SECTION LOCAL  DEFAULT                 30 .gcc_except_table
    31: 004eb880     0 SECTION LOCAL  DEFAULT                 31 .sdata
    32: 004eb900     0 SECTION LOCAL  DEFAULT                 32 .sbss
    33: 00000000     0 SECTION LOCAL  DEFAULT                 33 .DVP.ovlytab
    34: 004ec480     0 SECTION LOCAL  DEFAULT                 34 .bss
    35: 005be2ac     0 SECTION LOCAL  DEFAULT                 35 .vubss
    36: 00000000     0 SECTION LOCAL  DEFAULT                 36 .mdebug
    37: 00000000     0 SECTION LOCAL  DEFAULT                 37 .shstrtab
    38: 00000000     0 SECTION LOCAL  DEFAULT                 38 .symtab
    39: 00000000     0 SECTION LOCAL  DEFAULT                 39 .strtab
    40: 00100000     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    41: 00100000     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    42: 00100058     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    43: 00100058     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    44: 004ec480     4 NOTYPE  LOCAL  DEFAULT                 34 _t.4567
    45: 004ec484     4 NOTYPE  LOCAL  DEFAULT                 34 _$tmp_49.4568
    46: 004ec488     4 NOTYPE  LOCAL  DEFAULT                 34 _t.4569
    47: 004ec48c     4 NOTYPE  LOCAL  DEFAULT                 34 _$tmp_50.4570
    48: 0043f980     0 NOTYPE  LOCAL  DEFAULT                 27 _args_ptr
    49: 00100d88     0 NOTYPE  LOCAL  DEFAULT                  1 _nottool
    50: 00100e9c     0 NOTYPE  LOCAL  DEFAULT                  1 zerobss
    51: 004ec4c0     0 NOTYPE  LOCAL  DEFAULT                 34 _args
    52: 00100f88    28 FUNC    LOCAL  DEFAULT                  1 _root
    53: 00100f60     0 NOTYPE  LOCAL  DEFAULT                  1 _getargs
    54: 00100f68     0 NOTYPE  LOCAL  DEFAULT                  1 _run
    55: 0043f984     4 OBJECT  LOCAL  DEFAULT                 27 p.3
    56: 004ec640     0 NOTYPE  LOCAL  DEFAULT                 34 initialized.10
    57: 00101080     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    58: 00101080     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_c
    59: 00101080     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    60: 00101080     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_c
    61: 004ec648     0 NOTYPE  LOCAL  DEFAULT                 34 thenan.3
    62: 00101358     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    63: 00101358     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    64: 004eb780     0 NOTYPE  LOCAL  DEFAULT                 30 __EXCEPTION_TABLE__
    65: 0043f988     0 NOTYPE  LOCAL  DEFAULT                 27 __FRAME_BEGIN__
    66: 001013d0     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    67: 001013d0     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    68: 0043f9d0     0 NOTYPE  LOCAL  DEFAULT                 27 __FRAME_BEGIN__
    69: 00101aa0     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    70: 00101aa0     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    71: 0043fde0     0 NOTYPE  LOCAL  DEFAULT                 27 __FRAME_BEGIN__
    72: 00102820     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    73: 00102820     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_c
    74: 00102890    84 FUNC    LOCAL  DEFAULT                  1 new_eh_context
    75: 0044025c     4 OBJECT  LOCAL  DEFAULT                 27 get_eh_context
    76: 00102938    40 FUNC    LOCAL  DEFAULT                  1 eh_context_initialize
    77: 00102960   104 FUNC    LOCAL  DEFAULT                  1 eh_context_static
    78: 004ec658     0 NOTYPE  LOCAL  DEFAULT                 34 eh.39
    79: 004ec668     0 NOTYPE  LOCAL  DEFAULT                 34 initialized.40
    80: 004ec670     0 NOTYPE  LOCAL  DEFAULT                 34 top_elt.41
    81: 00102cd8   216 FUNC    LOCAL  DEFAULT                  1 old_find_exception_handler
    82: 00102db0   324 FUNC    LOCAL  DEFAULT                  1 find_exception_handler
    83: 00102ef8   136 FUNC    LOCAL  DEFAULT                  1 get_reg_addr
    84: 00102f80   124 FUNC    LOCAL  DEFAULT                  1 copy_reg
    85: 00103000   140 FUNC    LOCAL  DEFAULT                  1 next_stack_level
    86: 00103098   816 FUNC    LOCAL  DEFAULT                  1 throw_helper
    87: 00440260     0 NOTYPE  LOCAL  DEFAULT                 27 __FRAME_BEGIN__
    88: 00103790     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    89: 00103790     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_c
    90: 004ec678     0 NOTYPE  LOCAL  DEFAULT                 34 thenan.3
    91: 00103960   576 FUNC    LOCAL  DEFAULT                  1 _fpadd_parts
    92: 00104450     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    93: 00104450     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_cplusplus
    94: 00440850     4 OBJECT  LOCAL  DEFAULT                 27 __unexpected_func
    95: 004eb7b8     0 NOTYPE  LOCAL  DEFAULT                 30 __EXCEPTION_TABLE__
    96: 00440854     0 NOTYPE  LOCAL  DEFAULT                 27 __FRAME_BEGIN__
    97: 00104ba8     0 NOTYPE  LOCAL  DEFAULT                  1 gcc2_compiled.
    98: 00104ba8     0 NOTYPE  LOCAL  DEFAULT                  1 __gnu_compiled_c
    99: 00104ba8    68 FUNC    LOCAL  DEFAULT                  1 decode_uleb128
   100: 00104bf0    80 FUNC    LOCAL  DEFAULT                  1 decode_sleb128
   101: 00104c40   252 FUNC    LOCAL  DEFAULT                  1 fde_merge
   102: 00104d40   612 FUNC    LOCAL  DEFAULT                  1 end_fde_sort
   103: 001059b8   372 FUNC    LOCAL  DEFAULT                  1 fde_split
   104: 00104fa8    72 FUNC    LOCAL  DEFAULT                  1 count_fdes
   105: 00104ff0   136 FUNC    LOCAL  DEFAULT                  1 add_fdes
   106: 00105078   316 FUNC    LOCAL  DEFAULT                  1 frame_init
   107: 001051b8   228 FUNC    LOCAL  DEFAULT                  1 find_fde
